2021-04-05 15:32:00:1415 | test_01_register line:31 test_register |INFO | 开始执行测试案例：未注册的用户名（6位长度用户名与密码）与邮箱注册_注册成功
2021-04-05 15:32:01:7301 | basi_api line:23 send_http |INFO | 响应结果：{'email': ['请输入合法的邮件地址。']}
2021-04-05 15:32:01:7311 | test_01_register line:55 test_register |INFO | 不符合标准格式的邮箱注册_注册失败 测试案例执行通过！

2021-04-05 15:32:01:7351 | test_01_register line:31 test_register |INFO | 开始执行测试案例：邮箱为空_注册失败
2021-04-05 15:32:01:8538 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'kgeIUH', 'email': '', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:32:02:0153 | basi_api line:23 send_http |INFO | 响应结果：{'id': 459, 'username': 'kgeIUH', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo0NTksInVzZXJuYW1lIjoia2dlSVVIIiwiZXhwIjoxNjE3Njk0MzA0LCJlbWFpbCI6IiJ9.89SIAfTWBXX8r3JCOm_6UgfMWFdV6xgH271wMN_AxAM'}
2021-04-05 15:32:02:0153 | handle_assert line:20 eq |ERROR | eq断言失败，预期结果：400，实际结果：201
2021-04-05 15:32:02:0153 | handle_assert line:21 eq |ERROR | 用例失败！

2021-04-05 15:32:02:0624 | test_01_register line:31 test_register |INFO | 开始执行测试案例：密码长度<6位_注册失败
2021-04-05 15:32:02:1911 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'oZlwDi', 'email': 'jing03@yongma.cn', 'password': '12345', 'password_confirm': '12345'}}
2021-04-05 15:32:02:2270 | basi_api line:23 send_http |INFO | 响应结果：{'password': ['仅允许6-20个字符的密码'], 'password_confirm': ['仅允许6~20个字符的确认密码']}
2021-04-05 15:32:02:2300 | test_01_register line:55 test_register |INFO | 密码长度<6位_注册失败 测试案例执行通过！

2021-04-05 15:32:02:2429 | test_01_register line:31 test_register |INFO | 开始执行测试案例：密码长度>20位_注册失败
2021-04-05 15:32:02:3719 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'DZIGIP', 'email': 'gangliu@hotmail.com', 'password': '123451234512345123456', 'password_confirm': '123451234512345123456'}}
2021-04-05 15:32:02:4090 | basi_api line:23 send_http |INFO | 响应结果：{'password': ['仅允许6-20个字符的密码'], 'password_confirm': ['仅允许6~20个字符的确认密码']}
2021-04-05 15:32:02:4100 | test_01_register line:55 test_register |INFO | 密码长度>20位_注册失败 测试案例执行通过！

2021-04-05 15:32:02:4139 | test_01_register line:31 test_register |INFO | 开始执行测试案例：密码与确认密码不一致_注册失败
2021-04-05 15:32:02:5905 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'rAdRwZ', 'email': 'liqin@shizou.cn', 'password': '123456', 'password_confirm': '1234567'}}
2021-04-05 15:32:02:6264 | basi_api line:23 send_http |INFO | 响应结果：{'non_field_errors': ['两次输入密码不正确']}
2021-04-05 15:32:02:6264 | test_01_register line:55 test_register |INFO | 密码与确认密码不一致_注册失败 测试案例执行通过！

2021-04-05 15:32:02:6314 | test_01_register line:31 test_register |INFO | 开始执行测试案例：密码为空_注册失败
2021-04-05 15:32:02:7621 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'WiCWfU', 'email': 'xiafeng@junjiang.cn', 'password': '', 'password_confirm': '123456'}}
2021-04-05 15:32:02:8049 | basi_api line:23 send_http |INFO | 响应结果：{'password': ['该字段不能为空。']}
2021-04-05 15:32:02:8049 | test_01_register line:55 test_register |INFO | 密码为空_注册失败 测试案例执行通过！

2021-04-05 15:32:02:8099 | test_01_register line:31 test_register |INFO | 开始执行测试案例：确认密码为空_注册失败
2021-04-05 15:32:02:9226 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'JLbroW', 'email': 'licui@hotmail.com', 'password': '123456', 'password_confirm': ''}}
2021-04-05 15:32:02:9555 | basi_api line:23 send_http |INFO | 响应结果：{'password_confirm': ['该字段不能为空。']}
2021-04-05 15:32:02:9555 | test_01_register line:55 test_register |INFO | 确认密码为空_注册失败 测试案例执行通过！

2021-04-05 15:32:02:9964 | test_02_check_username_register line:32 test_check_username_register |INFO | 开始执行测试案例：判断已注册的用户名_已注册
2021-04-05 15:32:03:0902 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/kgeIUH/count/', 'method': 'GET'}
2021-04-05 15:32:03:1202 | basi_api line:23 send_http |INFO | 响应结果：{'username': 'kgeIUH', 'count': 1}
2021-04-05 15:32:03:1392 | test_02_check_username_register line:53 test_check_username_register |INFO | 判断已注册的用户名_已注册 测试案例执行通过！

2021-04-05 15:32:03:1441 | test_02_check_username_register line:32 test_check_username_register |INFO | 开始执行测试案例：判断未注册的用户名_未注册
2021-04-05 15:32:03:2482 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/OQfhkV/count/', 'method': 'GET'}
2021-04-05 15:32:03:2820 | basi_api line:23 send_http |INFO | 响应结果：{'username': 'OQfhkV', 'count': 0}
2021-04-05 15:32:03:3000 | test_02_check_username_register line:53 test_check_username_register |INFO | 判断未注册的用户名_未注册 测试案例执行通过！

2021-04-05 15:32:03:3539 | test_03_check_email_register line:32 test_check_email_register |INFO | 开始执行测试案例：判断已注册的邮箱_已注册
2021-04-05 15:32:03:4741 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/tianping@minmeng.net/count/', 'method': 'GET'}
2021-04-05 15:32:03:5210 | basi_api line:23 send_http |INFO | 响应结果：{'email': 'tianping@minmeng.net', 'count': 1}
2021-04-05 15:32:03:5449 | test_03_check_email_register line:53 test_check_email_register |INFO | 判断已注册的邮箱_已注册 测试案例执行通过！

2021-04-05 15:32:03:5569 | test_03_check_email_register line:32 test_check_email_register |INFO | 开始执行测试案例：判断未注册的邮箱_未注册
2021-04-05 15:32:03:6707 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/chengyong@hotmail.com/count/', 'method': 'GET'}
2021-04-05 15:32:03:7045 | basi_api line:23 send_http |INFO | 响应结果：{'email': 'chengyong@hotmail.com', 'count': 0}
2021-04-05 15:32:03:7264 | test_03_check_email_register line:53 test_check_email_register |INFO | 判断未注册的邮箱_未注册 测试案例执行通过！

2021-04-05 15:32:03:7324 | test_04_login line:31 test_login |INFO | 开始执行测试案例：已注册的用户名登录_登录成功
2021-04-05 15:32:03:8122 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:32:03:9548 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDYsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.Uct7lBCALsDr50RwcFOm7GD6PdG46ktVN0_i608kdXw', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:32:03:9568 | test_04_login line:48 test_login |INFO | 已注册的用户名登录_登录成功 测试案例执行通过！

2021-04-05 15:32:03:9618 | test_04_login line:31 test_login |INFO | 开始执行测试案例：未注册的用户名登录_登录失败
2021-04-05 15:32:04:0874 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'fGnDDb', 'password': '123456'}}
2021-04-05 15:32:04:2530 | basi_api line:23 send_http |INFO | 响应结果：{'non_field_errors': ['无法使用提供的认证信息登录。']}
2021-04-05 15:32:04:2530 | test_04_login line:48 test_login |INFO | 未注册的用户名登录_登录失败 测试案例执行通过！

2021-04-05 15:32:04:2580 | test_04_login line:31 test_login |INFO | 开始执行测试案例：密码错误_登录失败
2021-04-05 15:32:04:3198 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '1234567'}}
2021-04-05 15:32:04:4644 | basi_api line:23 send_http |INFO | 响应结果：{'non_field_errors': ['无法使用提供的认证信息登录。']}
2021-04-05 15:32:04:4644 | test_04_login line:48 test_login |INFO | 密码错误_登录失败 测试案例执行通过！

2021-04-05 15:32:04:4694 | test_04_login line:31 test_login |INFO | 开始执行测试案例：用户名为空_登录失败
2021-04-05 15:32:04:5352 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': '', 'password': '1234567'}}
2021-04-05 15:32:04:5634 | basi_api line:23 send_http |INFO | 响应结果：{'username': ['该字段不能为空。']}
2021-04-05 15:32:04:5642 | test_04_login line:48 test_login |INFO | 用户名为空_登录失败 测试案例执行通过！

2021-04-05 15:32:04:5682 | test_04_login line:31 test_login |INFO | 开始执行测试案例：密码为空_登录失败
2021-04-05 15:32:04:6601 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': ''}}
2021-04-05 15:32:04:6850 | basi_api line:23 send_http |INFO | 响应结果：{'password': ['该字段不能为空。']}
2021-04-05 15:32:04:6850 | test_04_login line:48 test_login |INFO | 密码为空_登录失败 测试案例执行通过！

2021-04-05 15:32:04:7519 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:32:04:9002 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDcsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.dUVav-qcCeO9Fvbo62709PpIJptWa2Y3WIp3Yi4LaDA', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:32:04:9022 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：所有参数均正确创建项目_创建项目成功
2021-04-05 15:32:04:9811 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDcsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.dUVav-qcCeO9Fvbo62709PpIJptWa2Y3WIp3Yi4LaDA'}, 'json': {'name': 'VMYfP', 'leader': 'a', 'tester': 'b', 'programmer': 'c', 'publish_app': 'd', 'desc': 'e'}}
2021-04-05 15:32:05:0249 | basi_api line:23 send_http |INFO | 响应结果：{'id': 787, 'create_time': '2021-04-05T15:31:47.715927+08:00', 'name': 'VMYfP', 'leader': 'a', 'tester': 'b', 'programmer': 'c', 'publish_app': 'd', 'desc': 'e'}
2021-04-05 15:32:05:0529 | test_05_projects line:57 test_add_project |INFO | 所有参数均正确创建项目_创建项目成功 测试案例执行通过！

2021-04-05 15:32:05:0638 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:32:05:2129 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDcsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.dUVav-qcCeO9Fvbo62709PpIJptWa2Y3WIp3Yi4LaDA', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:32:05:2147 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：必填参数均正确创建项目_创建项目成功
2021-04-05 15:32:05:3551 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDcsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.dUVav-qcCeO9Fvbo62709PpIJptWa2Y3WIp3Yi4LaDA'}, 'json': {'name': 'KOUeNHhEBTQZLFCmzEGAhiaNahsqkhaJizoaBMAUmSvFLFUXrhCrRtDoLxYKKLEnknigMGSgcboJVVRyvgQIispUbDTDAeihZGzkeLFnNFfZKcYgRUIDZGCKeZmILnnnxHTQmmBCUbahAbFMpKTcvoRxXVlfTsgcyglQmbCTbobVWcDVrbiEXphTeAEhZWrTuRzoUKYm', 'leader': 'VpVjefzbXqOcGxWlsjprmcJMNowveRzmNhkzzFtRHzewoijeKg', 'tester': 'DVSQuLuXoYEaxdyHbLSVboXpEciebpjjLDXLvvXVgEgpjagEpD', 'programmer': 'ESpenpBZvZlaIzfLBzGDLtFQaQqFgcZuVoEvmKaMRMKsZBOGEc', 'publish_app': 'GOKUaGhIwCGZynwOXnTNLMWnxzYiVYXunLIqWWyELQaRgIviNTWAALfjoLUoKQlxbQWAurlyhqnujFIlatShFBoDrOodOLBniMND'}}
2021-04-05 15:32:05:4130 | basi_api line:23 send_http |INFO | 响应结果：{'id': 788, 'create_time': '2021-04-05T15:31:48.089894+08:00', 'name': 'KOUeNHhEBTQZLFCmzEGAhiaNahsqkhaJizoaBMAUmSvFLFUXrhCrRtDoLxYKKLEnknigMGSgcboJVVRyvgQIispUbDTDAeihZGzkeLFnNFfZKcYgRUIDZGCKeZmILnnnxHTQmmBCUbahAbFMpKTcvoRxXVlfTsgcyglQmbCTbobVWcDVrbiEXphTeAEhZWrTuRzoUKYm', 'leader': 'VpVjefzbXqOcGxWlsjprmcJMNowveRzmNhkzzFtRHzewoijeKg', 'tester': 'DVSQuLuXoYEaxdyHbLSVboXpEciebpjjLDXLvvXVgEgpjagEpD', 'programmer': 'ESpenpBZvZlaIzfLBzGDLtFQaQqFgcZuVoEvmKaMRMKsZBOGEc', 'publish_app': 'GOKUaGhIwCGZynwOXnTNLMWnxzYiVYXunLIqWWyELQaRgIviNTWAALfjoLUoKQlxbQWAurlyhqnujFIlatShFBoDrOodOLBniMND', 'desc': ''}
2021-04-05 15:32:05:4130 | handle_assert line:20 eq |ERROR | eq断言失败，预期结果：{'name': 'KOUeNHhEBTQZLFCmzEGAhiaNahsqkhaJizoaBMAUmSvFLFUXrhCrRtDoLxYKKLEnknigMGSgcboJVVRyvgQIispUbDTDAeihZGzkeLFnNFfZKcYgRUIDZGCKeZmILnnnxHTQmmBCUbahAbFMpKTcvoRxXVlfTsgcyglQmbCTbobVWcDVrbiEXphTeAEhZWrTuRzoUKYm', 'leader': 'VpVjefzbXqOcGxWlsjprmcJMNowveRzmNhkzzFtRHzewoijeKg', 'tester': 'DVSQuLuXoYEaxdyHbLSVboXpEciebpjjLDXLvvXVgEgpjagEpD', 'programmer': 'ESpenpBZvZlaIzfLBzGDLtFQaQqFgcZuVoEvmKaMRMKsZBOGEc', 'publish_app': 'GOKUaGhIwCGZynwOXnTNLMWnxzYiVYXunLIqWWyELQaRgIviNTWAALfjoLUoKQlxbQWAurlyhqnujFIlatShFBoDrOodOLBniMND'}，实际结果：{'name': 'KOUeNHhEBTQZLFCmzEGAhiaNahsqkhaJizoaBMAUmSvFLFUXrhCrRtDoLxYKKLEnknigMGSgcboJVVRyvgQIispUbDTDAeihZGzkeLFnNFfZKcYgRUIDZGCKeZmILnnnxHTQmmBCUbahAbFMpKTcvoRxXVlfTsgcyglQmbCTbobVWcDVrbiEXphTeAEhZWrTuRzoUKYm', 'leader': 'VpVjefzbXqOcGxWlsjprmcJMNowveRzmNhkzzFtRHzewoijeKg', 'tester': 'DVSQuLuXoYEaxdyHbLSVboXpEciebpjjLDXLvvXVgEgpjagEpD', 'programmer': 'ESpenpBZvZlaIzfLBzGDLtFQaQqFgcZuVoEvmKaMRMKsZBOGEc', 'publish_app': 'GOKUaGhIwCGZynwOXnTNLMWnxzYiVYXunLIqWWyELQaRgIviNTWAALfjoLUoKQlxbQWAurlyhqnujFIlatShFBoDrOodOLBniMND', 'desc': ''}
2021-04-05 15:32:05:4139 | handle_assert line:21 eq |ERROR | 用例失败！

2021-04-05 15:32:05:4239 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:32:05:5647 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDgsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.0CiFUHTHdwPDZTqEW6czSfIYYYOy2f-TrXnJzl61rQ4', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:32:05:5657 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：简要描述为空_创建项目成功
2021-04-05 15:32:05:6725 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDgsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.0CiFUHTHdwPDZTqEW6czSfIYYYOy2f-TrXnJzl61rQ4'}, 'json': {'name': 'xDyNn', 'leader': 'a', 'tester': 'b', 'programmer': 'c', 'publish_app': 'GiOBMJTylkYKdBcZdspbghcnBDbRvwLsFHyFxPcUwGZnWyBpMWgcSMLHYBDtcvgyGzdGUHBteSpnsOJozPlbXhEHZugowIFeKYvi', 'desc': ''}}
2021-04-05 15:32:05:7253 | basi_api line:23 send_http |INFO | 响应结果：{'id': 789, 'create_time': '2021-04-05T15:31:48.405653+08:00', 'name': 'xDyNn', 'leader': 'a', 'tester': 'b', 'programmer': 'c', 'publish_app': 'GiOBMJTylkYKdBcZdspbghcnBDbRvwLsFHyFxPcUwGZnWyBpMWgcSMLHYBDtcvgyGzdGUHBteSpnsOJozPlbXhEHZugowIFeKYvi', 'desc': ''}
2021-04-05 15:32:05:7262 | test_05_projects line:57 test_add_project |INFO | 简要描述为空_创建项目成功 测试案例执行通过！

2021-04-05 15:32:05:7312 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
2021-04-05 15:32:05:8828 | basi_api line:23 send_http |INFO | 响应结果：{'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDgsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.0CiFUHTHdwPDZTqEW6czSfIYYYOy2f-TrXnJzl61rQ4', 'user_id': 91, 'username': 'Rachel'}
2021-04-05 15:32:05:8858 | test_05_projects line:32 test_add_project |INFO | 开始执行测试案例：项目名称已存在创建创建_创建项目失败
2021-04-05 15:32:06:0254 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/projects/', 'method': 'POST', 'headers': {'Authorization': 'JWT eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo5MSwidXNlcm5hbWUiOiJSYWNoZWwiLCJleHAiOjE2MTc2OTQzMDgsImVtYWlsIjoiODQzNTEyNThAcXEuY29tIn0.0CiFUHTHdwPDZTqEW6czSfIYYYOy2f-TrXnJzl61rQ4'}, 'json': {'name': 'xDyNn', 'leader': 'RukBCDHJnehsooGgwWNfNKDPnLIqKmfiajBpKYBTjdDSdOCWlu', 'tester': 'jXypVTAvUEnabLoPkfYGBMSwOSWJDiUAmxTKceGCptKQDtqCHH', 'programmer': 'YmbpxPkposBIgtASfgRvZYAMxzHeHDCrFmdtAmbmzEVhOJnkTT', 'publish_app': 'uDKRfzrjobqrmrtUXWsPaOuiOfTHGUKmdbxYaEbPfmZJfxuoKKawCjcZWEIwsCcSQYbTTmFtAWLNEhwulkNSWKMKTOJHpZKaItXT'}}
2021-04-05 15:32:06:0536 | basi_api line:23 send_http |INFO | 响应结果：{'name': ['具有 项目名称 的 项目信息 已存在。']}
2021-04-05 15:32:06:0546 | test_05_projects line:57 test_add_project |INFO | 项目名称已存在创建创建_创建项目失败 测试案例执行通过！

2021-04-05 15:32:06:0596 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/login/', 'method': 'POST', 'json': {'username': 'Rachel', 'password': '123456'}}
